,id,pid,ms_subclass,ms_zoning,lot_area,street,alley,lot_shape,land_contour,utilities,lot_config,land_slope,neighborhood,condition_1,condition_2,bldg_type,house_style,overall_qual,overall_cond,roof_style,roof_matl,exterior_1st,exterior_2nd,mas_vnr_type,mas_vnr_area,exter_qual,exter_cond,foundation,bsmt_qual,bsmt_cond,bsmt_exposure,bsmtfin_type_1,bsmtfin_sf_1,bsmtfin_type_2,bsmtfin_sf_2,bsmt_unf_sf,total_bsmt_sf,heating,heating_qc,central_air,electrical,1st_flr_sf,2nd_flr_sf,low_qual_fin_sf,gr_liv_area,bsmt_full_bath,bsmt_half_bath,full_bath,half_bath,bedroom_abvgr,kitchen_abvgr,kitchen_qual,totrms_abvgrd,functional,fireplaces,fireplace_qu,garage_type,garage_finish,garage_cars,garage_area,garage_qual,garage_cond,paved_drive,wood_deck_sf,open_porch_sf,enclosed_porch,3ssn_porch,screen_porch,pool_area,pool_qc,fence,misc_feature,misc_val,mo_sold,yr_sold,sale_type,saleprice,age,remodeled_age,total_fin_area,total_bath,quality_pool,good_features,bad_features
10,1044,527451290,160,RM,1680,Pave,none,Reg,Lvl,AllPub,Inside,Gtl,BrDale,Norm,Norm,Twnhs,2Story,6,5,Gable,CompShg,HdBoard,HdBoard,BrkFace,232.0,0.0,0.0,CBlock,0.0,0.0,0.0,ALQ,387.0,Unf,0.0,96.0,483.0,GasA,0.0,Y,SBrkr,483,504,0,987,0.0,0.0,1,1,2,1,0.0,4,Typ,0,0.0,Detchd,Unf,1.0,264.0,0.0,0.0,Y,0,0,0,0,0,0,0.0,none,none,0,7,2008,COD,85400,37,0,1470.0,1.5,0,0,0
11,2752,906380150,20,RL,7488,Pave,none,IR1,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,4.0,0.0,PConc,4.0,0.0,0.0,GLQ,393.0,Unf,0.0,815.0,1208.0,GasA,5.0,Y,SBrkr,1208,0,0,1208,0.0,0.0,2,0,2,1,4.0,6,Typ,0,0.0,Attchd,RFn,2.0,632.0,0.0,0.0,Y,105,58,0,0,0,0,0.0,none,none,0,2,2006,WD ,183600,1,0,2416.0,2.0,0,2,0
12,807,906226060,70,RL,26400,Pave,none,Reg,Bnk,AllPub,FR2,Gtl,SawyerW,Feedr,Norm,1Fam,2Story,5,7,Gable,CompShg,HdBoard,HdBoard,None,0.0,4.0,0.0,PConc,0.0,0.0,0.0,none,0.0,none,0.0,0.0,0.0,GasA,5.0,Y,SBrkr,1288,728,0,2016,0.0,0.0,1,0,4,1,0.0,7,Mod,1,0.0,Attchd,Unf,2.0,576.0,0.0,0.0,P,0,0,0,0,0,0,0.0,none,none,0,6,2009,WD ,131000,129,127,2016.0,1.0,0,0,0
13,1177,533236070,160,FV,2645,Pave,Pave,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,Twnhs,2Story,8,5,Gable,CompShg,MetalSd,MetalSd,BrkFace,456.0,4.0,0.0,PConc,4.0,0.0,0.0,GLQ,813.0,Unf,0.0,147.0,960.0,GasA,5.0,Y,SBrkr,962,645,0,1607,1.0,0.0,2,1,3,1,4.0,7,Typ,0,0.0,Detchd,Unf,2.0,480.0,0.0,0.0,Y,169,0,0,0,0,0,0.0,none,none,0,12,2008,ConLD,200000,9,1,2567.0,3.5,0,2,0
14,1480,907418040,20,RL,9627,Pave,none,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,7,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,4.0,0.0,PConc,4.0,0.0,0.0,GLQ,24.0,Unf,0.0,1327.0,1351.0,GasA,5.0,Y,SBrkr,1361,0,0,1361,0.0,0.0,2,0,3,1,4.0,6,Typ,0,0.0,Attchd,RFn,2.0,610.0,0.0,0.0,Y,0,50,0,0,0,0,0.0,none,none,0,6,2008,WD ,193000,1,0,2712.0,2.0,0,2,0
15,324,923202105,20,RL,10114,Pave,none,Reg,Lvl,AllPub,Inside,Gtl,Mitchel,Norm,Norm,1Fam,1Story,5,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,0.0,0.0,PConc,5.0,0.0,0.0,Unf,0.0,Unf,0.0,1430.0,1430.0,GasA,5.0,Y,SBrkr,1430,0,0,1430,0.0,0.0,2,0,3,1,4.0,7,Typ,0,0.0,Attchd,RFn,2.0,624.0,0.0,0.0,Y,0,0,0,0,0,0,0.0,none,none,0,3,2010,WD ,173500,6,1,2860.0,2.0,0,1,0
16,1311,902301140,70,RM,4571,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,2Story,5,5,Gable,CompShg,AsbShng,AsbShng,None,0.0,0.0,0.0,BrkTil,0.0,0.0,0.0,Unf,0.0,Unf,0.0,624.0,624.0,GasA,2.0,N,SBrkr,624,720,0,1344,0.0,0.0,1,0,4,1,0.0,7,Typ,0,0.0,Detchd,Unf,3.0,513.0,2.0,2.0,Y,0,0,96,0,0,0,0.0,none,none,0,5,2008,COD,98000,92,34,1968.0,1.0,0,0,1
17,770,905101490,20,RL,8816,Pave,none,Reg,Lvl,AllPub,Corner,Gtl,Sawyer,Feedr,Norm,1Fam,1Story,5,6,Gable,CompShg,VinylSd,VinylSd,None,0.0,0.0,0.0,PConc,0.0,0.0,0.0,Rec,651.0,Unf,0.0,470.0,1121.0,GasA,0.0,Y,SBrkr,1121,0,0,1121,1.0,0.0,1,0,3,1,0.0,5,Typ,0,0.0,Detchd,Unf,2.0,480.0,0.0,0.0,Y,0,80,0,0,0,0,0.0,MnPrv,none,0,6,2009,WD ,139000,46,0,2242.0,2.0,0,0,0
18,2063,905107140,20,RL,8197,Pave,none,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,6,5,Gable,CompShg,Plywood,Plywood,BrkFace,148.0,0.0,0.0,CBlock,0.0,0.0,0.0,Unf,0.0,Unf,0.0,660.0,660.0,GasA,5.0,Y,SBrkr,1285,0,0,1285,0.0,0.0,1,1,3,1,0.0,7,Typ,1,0.0,Attchd,RFn,2.0,528.0,0.0,0.0,Y,138,0,0,0,0,0,0.0,MnPrv,none,0,4,2007,WD ,143500,30,0,1945.0,1.5,0,0,0
19,69,528458070,60,FV,8640,Pave,none,Reg,Lvl,AllPub,Inside,Gtl,Somerst,Norm,Norm,1Fam,2Story,7,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,0.0,0.0,PConc,4.0,0.0,0.0,GLQ,24.0,Unf,0.0,732.0,756.0,GasA,5.0,Y,SBrkr,764,783,0,1547,0.0,0.0,2,1,3,1,4.0,7,Typ,0,0.0,Attchd,Unf,2.0,614.0,0.0,0.0,Y,169,45,0,0,0,0,0.0,none,none,0,6,2010,Con,215200,1,0,2303.0,2.5,0,2,0
20,2062,905106150,20,RL,8724,Pave,none,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,Norm,Norm,1Fam,1Story,5,5,Gable,CompShg,VinylSd,VinylSd,None,0.0,0.0,0.0,CBlock,4.0,0.0,0.0,BLQ,492.0,Unf,0.0,402.0,894.0,GasA,4.0,Y,SBrkr,894,0,0,894,0.0,0.0,1,0,3,1,0.0,5,Typ,1,1.0,Attchd,Fin,2.0,450.0,0.0,0.0,Y,0,0,0,0,0,0,0.0,none,none,0,5,2007,WD ,129000,39,0,1788.0,1.0,0,0,0
21,351,527131030,120,RL,5664,Pave,none,IR1,Lvl,AllPub,Inside,Gtl,StoneBr,Norm,Norm,TwnhsE,1Story,8,5,Gable,CompShg,CemntBd,CmentBd,None,0.0,4.0,0.0,PConc,4.0,0.0,0.0,GLQ,1158.0,Unf,0.0,343.0,1501.0,GasA,5.0,Y,SBrkr,1659,0,0,1659,1.0,0.0,2,0,2,1,5.0,5,Typ,1,5.0,Attchd,Fin,2.0,499.0,0.0,0.0,Y,212,59,0,0,0,0,0.0,none,none,0,10,2009,WD ,278000,9,0,3160.0,3.0,0,4,0
22,2393,528142010,60,RL,12867,Pave,none,IR1,Lvl,AllPub,Corner,Gtl,NridgHt,Norm,Norm,1Fam,2Story,8,5,Gable,CompShg,CemntBd,CmentBd,none,0.0,4.0,0.0,PConc,5.0,0.0,0.0,Unf,0.0,Unf,0.0,1209.0,1209.0,GasA,5.0,Y,SBrkr,1209,1044,0,2253,0.0,0.0,2,1,3,1,5.0,8,Typ,1,4.0,Attchd,Fin,2.0,575.0,0.0,0.0,Y,243,142,0,0,0,0,0.0,none,none,0,7,2006,New,344133,1,1,3462.0,2.5,0,3,0
23,12,527165230,20,RL,7980,Pave,none,IR1,Lvl,AllPub,Inside,Gtl,Gilbert,Norm,Norm,1Fam,1Story,6,7,Gable,CompShg,HdBoard,HdBoard,None,0.0,0.0,4.0,PConc,4.0,0.0,0.0,ALQ,935.0,Unf,0.0,233.0,1168.0,GasA,5.0,Y,SBrkr,1187,0,0,1187,1.0,0.0,2,0,3,1,0.0,6,Typ,0,0.0,Attchd,Fin,2.0,420.0,0.0,0.0,Y,483,21,0,0,0,0,0.0,GdPrv,Shed,500,3,2010,WD ,185000,18,15,2355.0,3.0,0,0,0
24,2339,527250040,190,RL,34650,Pave,none,Reg,Bnk,AllPub,Inside,Gtl,Gilbert,Norm,Norm,2fmCon,1Story,5,5,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,0.0,0.0,CBlock,0.0,0.0,0.0,Rec,1056.0,Unf,0.0,0.0,1056.0,GasA,0.0,N,SBrkr,1056,0,0,1056,1.0,0.0,1,0,3,1,0.0,5,Typ,0,0.0,Attchd,Fin,2.0,572.0,0.0,0.0,Y,264,0,0,0,0,0,0.0,none,none,0,1,2006,WD ,145000,51,0,2112.0,2.0,0,0,1
25,624,535104120,20,RL,10573,Pave,none,IR1,Lvl,AllPub,Corner,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,Hip,CompShg,MetalSd,MetalSd,BrkFace,3.0,0.0,0.0,CBlock,0.0,0.0,0.0,Rec,1312.0,Unf,0.0,141.0,1453.0,GasA,5.0,Y,SBrkr,1453,0,0,1453,1.0,0.0,2,0,3,1,0.0,6,Typ,1,0.0,Attchd,RFn,2.0,530.0,0.0,0.0,Y,0,49,0,0,288,0,0.0,GdPrv,none,0,4,2009,WD ,187500,48,0,2906.0,3.0,0,0,0
26,86,532376160,20,RL,8450,Pave,none,Reg,Lvl,AllPub,Inside,Gtl,Sawyer,RRAe,Norm,1Fam,1Story,5,8,Gable,CompShg,MetalSd,MetalSd,None,0.0,0.0,4.0,CBlock,0.0,0.0,0.0,GLQ,553.0,BLQ,117.0,224.0,894.0,GasA,5.0,Y,SBrkr,894,0,0,894,1.0,0.0,1,0,3,1,0.0,5,Typ,1,4.0,Detchd,Unf,1.0,336.0,0.0,0.0,Y,416,144,0,0,0,0,0.0,MnPrv,none,0,4,2010,WD ,138500,45,44,1788.0,2.0,0,2,1
27,1534,909277040,50,RL,11700,Pave,Grvl,IR1,HLS,AllPub,Inside,Mod,Crawfor,Norm,Norm,1Fam,1.5Fin,5,6,Gable,CompShg,WdShing,Wd Shng,None,0.0,0.0,0.0,CBlock,0.0,0.0,0.0,BLQ,606.0,Unf,0.0,336.0,942.0,GasA,5.0,Y,SBrkr,1265,673,0,1938,0.0,0.0,2,0,4,1,4.0,7,Min2,1,4.0,Detchd,Unf,1.0,240.0,0.0,0.0,Y,0,40,0,0,0,0,0.0,none,none,0,7,2008,WD ,198000,71,58,2880.0,2.0,0,1,0
28,2243,911103060,190,C (all),8250,Pave,none,Reg,Lvl,AllPub,Inside,Gtl,IDOTRR,Feedr,Norm,2fmCon,2Story,5,6,Gable,CompShg,VinylSd,VinylSd,None,0.0,0.0,4.0,CBlock,0.0,0.0,0.0,Unf,0.0,Unf,0.0,957.0,957.0,GasA,2.0,N,SBrkr,1034,957,0,1991,0.0,0.0,2,0,4,2,0.0,9,Typ,0,0.0,none,none,0.0,0.0,0.0,0.0,N,0,0,133,0,0,0,0.0,none,none,0,6,2007,WD ,119600,112,111,2948.0,2.0,0,0,1
29,1957,535450190,50,RL,8064,Pave,none,Reg,Lvl,AllPub,Corner,Gtl,NAmes,Artery,Norm,1Fam,1.5Fin,5,7,Gable,CompShg,MetalSd,MetalSd,None,0.0,0.0,4.0,CBlock,0.0,0.0,0.0,Unf,0.0,Unf,0.0,672.0,672.0,GasA,5.0,Y,SBrkr,672,252,0,924,0.0,0.0,1,0,3,1,0.0,6,Typ,1,1.0,Detchd,Unf,2.0,576.0,0.0,0.0,Y,0,0,0,0,0,0,0.0,MnPrv,Shed,2000,7,2007,WD ,122900,58,57,1596.0,1.0,0,0,1
30,380,527355150,20,RL,9600,Pave,none,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,PosN,Norm,1Fam,1Story,8,5,Hip,WdShngl,BrkFace,BrkFace,None,0.0,4.0,0.0,PConc,4.0,0.0,0.0,ALQ,1104.0,Unf,0.0,1420.0,2524.0,GasA,0.0,Y,SBrkr,2524,0,0,2524,1.0,0.0,2,1,4,1,4.0,9,Typ,1,4.0,Attchd,Fin,2.0,542.0,0.0,0.0,Y,474,120,0,0,0,0,0.0,MnPrv,none,0,7,2009,WD ,278000,28,0,5048.0,3.5,0,2,0
31,2860,909276010,70,RL,11435,Pave,none,IR1,HLS,AllPub,Corner,Mod,Crawfor,Norm,Norm,1Fam,2Story,8,7,Gable,CompShg,BrkFace,Stucco,None,0.0,0.0,0.0,PConc,4.0,0.0,0.0,Unf,0.0,Unf,0.0,792.0,792.0,GasA,2.0,Y,SBrkr,792,725,0,1517,0.0,0.0,1,0,3,1,4.0,7,Typ,2,4.0,Detchd,Unf,2.0,400.0,0.0,0.0,Y,0,0,0,0,0,0,0.0,none,none,0,6,2006,WD ,230000,77,21,2309.0,1.0,0,1,0
32,2517,533250130,120,RL,9549,Pave,none,IR1,Lvl,AllPub,CulDSac,Gtl,Veenker,Norm,Norm,TwnhsE,1Story,8,5,Hip,CompShg,BrkFace,BrkFace,None,0.0,4.0,4.0,PConc,4.0,4.0,0.0,LwQ,437.0,GLQ,1057.0,0.0,1494.0,GasA,5.0,Y,SBrkr,1494,0,0,1494,1.0,0.0,1,1,2,1,5.0,6,Typ,1,4.0,Attchd,Fin,2.0,481.0,0.0,0.0,Y,0,30,0,0,216,0,0.0,none,none,0,4,2006,WD ,270000,11,1,2988.0,2.5,0,2,0
33,1933,535302070,20,RL,10950,Pave,none,Reg,Lvl,AllPub,Inside,Gtl,NAmes,Norm,Norm,1Fam,1Story,6,6,Hip,CompShg,Wd Sdng,Wd Sdng,None,0.0,0.0,0.0,CBlock,0.0,0.0,0.0,ALQ,441.0,Unf,0.0,507.0,948.0,GasA,0.0,Y,SBrkr,948,0,0,948,0.0,0.0,1,0,2,1,0.0,5,Typ,0,0.0,Detchd,Unf,2.0,410.0,0.0,0.0,N,0,48,0,0,0,0,0.0,none,none,0,4,2007,WD ,125000,55,0,1896.0,1.0,0,0,0
34,820,906340110,20,RL,10637,Pave,none,Reg,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,8,5,Hip,CompShg,VinylSd,VinylSd,Stone,336.0,4.0,0.0,PConc,5.0,0.0,4.0,GLQ,1288.0,Unf,0.0,417.0,1705.0,GasA,5.0,Y,SBrkr,1718,0,0,1718,1.0,0.0,2,0,3,1,4.0,7,Typ,1,4.0,Attchd,RFn,3.0,826.0,0.0,0.0,Y,208,44,0,0,0,0,0.0,none,none,0,9,2009,WD ,297000,2,1,3423.0,3.0,0,3,0
35,675,535426150,20,RL,9000,Pave,none,IR1,HLS,AllPub,Inside,Mod,NAmes,Norm,Norm,1Fam,1Story,6,6,Flat,Tar&Grv,Wd Sdng,Wd Sdng,BrkFace,82.0,0.0,0.0,CBlock,4.0,0.0,4.0,Unf,0.0,Unf,0.0,160.0,160.0,GasA,2.0,Y,SBrkr,1142,0,0,1142,0.0,0.0,1,0,2,1,0.0,5,Typ,1,4.0,Basment,RFn,1.0,384.0,0.0,0.0,Y,0,28,64,0,0,0,0.0,none,none,0,4,2009,WD ,113500,51,0,1302.0,1.0,0,1,0
36,2910,923225240,160,RM,2665,Pave,none,Reg,Lvl,AllPub,Inside,Gtl,MeadowV,Norm,Norm,TwnhsE,2Story,5,6,Gable,CompShg,CemntBd,CmentBd,None,0.0,0.0,0.0,PConc,0.0,0.0,0.0,ALQ,548.0,Rec,173.0,36.0,757.0,GasA,5.0,Y,SBrkr,925,550,0,1475,0.0,0.0,2,0,4,1,0.0,6,Typ,1,0.0,Attchd,RFn,1.0,336.0,0.0,0.0,Y,104,26,0,0,0,0,0.0,none,none,0,7,2006,WD ,127000,29,0,2232.0,2.0,0,0,0
37,21,527358140,20,RL,11751,Pave,none,IR1,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,6,6,Hip,CompShg,Plywood,Plywood,BrkFace,480.0,0.0,0.0,CBlock,4.0,0.0,0.0,BLQ,705.0,Unf,0.0,1139.0,1844.0,GasA,5.0,Y,SBrkr,1844,0,0,1844,0.0,0.0,2,0,3,1,0.0,7,Typ,1,0.0,Attchd,RFn,2.0,546.0,0.0,0.0,Y,0,122,0,0,0,0,0.0,MnPrv,none,0,1,2010,COD,190000,33,0,3688.0,2.0,0,0,0
38,1873,534177210,20,RL,9600,Pave,none,Reg,Lvl,AllPub,Inside,Gtl,NWAmes,Norm,Norm,1Fam,1Story,7,6,Hip,CompShg,HdBoard,HdBoard,BrkFace,320.0,0.0,0.0,CBlock,0.0,0.0,0.0,ALQ,916.0,Unf,0.0,326.0,1242.0,GasA,2.0,Y,SBrkr,1242,0,0,1242,0.0,0.0,1,1,3,1,0.0,6,Typ,1,0.0,Attchd,Unf,2.0,528.0,0.0,0.0,Y,0,0,0,0,0,0,0.0,none,none,0,9,2007,WD ,175500,34,0,2484.0,1.5,0,0,0
39,2125,907135050,20,RL,8428,Pave,none,IR2,Lvl,AllPub,Inside,Gtl,CollgCr,Norm,Norm,1Fam,1Story,5,7,Gable,CompShg,VinylSd,VinylSd,None,0.0,0.0,4.0,PConc,4.0,4.0,0.0,GLQ,420.0,Unf,0.0,570.0,990.0,GasA,5.0,Y,SBrkr,990,0,0,990,1.0,0.0,1,0,3,1,0.0,5,Typ,0,0.0,Detchd,Unf,1.0,384.0,0.0,0.0,Y,256,0,0,0,0,0,0.0,none,none,0,7,2007,WD ,146000,13,0,1980.0,2.0,0,1,0
40,1489,908102260,20,RL,9937,Pave,none,Reg,Lvl,AllPub,Inside,Gtl,Edwards,Norm,Norm,1Fam,1Story,5,6,Gable,CompShg,HdBoard,HdBoard,None,0.0,4.0,0.0,CBlock,0.0,0.0,0.0,BLQ,830.0,LwQ,290.0,136.0,1256.0,GasA,4.0,Y,SBrkr,1256,0,0,1256,1.0,0.0,1,1,3,1,0.0,6,Typ,0,0.0,Attchd,Fin,1.0,276.0,0.0,0.0,Y,736,68,0,0,0,0,0.0,none,none,0,6,2008,WD ,147500,43,0,2512.0,2.5,0,0,0
41,2383,528110050,20,RL,13891,Pave,none,Reg,Lvl,AllPub,Inside,Gtl,NridgHt,Norm,Norm,1Fam,1Story,10,5,Gable,CompShg,VinylSd,VinylSd,none,0.0,5.0,0.0,PConc,5.0,4.0,4.0,GLQ,1386.0,Unf,0.0,690.0,2076.0,GasA,5.0,Y,SBrkr,2076,0,0,2076,1.0,0.0,2,1,2,1,5.0,7,Typ,1,4.0,Attchd,Fin,3.0,850.0,0.0,0.0,Y,216,229,0,0,0,0,0.0,none,none,0,9,2006,New,465000,0,0,4152.0,3.5,0,6,0
42,983,923275040,85,RL,9101,Pave,none,IR1,Lvl,AllPub,Corner,Gtl,Mitchel,Norm,Norm,1Fam,SFoyer,5,6,Gable,CompShg,Plywood,Plywood,BrkFace,104.0,0.0,4.0,PConc,4.0,0.0,0.0,GLQ,1097.0,Unf,0.0,0.0,1097.0,GasA,5.0,Y,SBrkr,1110,0,0,1110,1.0,0.0,1,0,1,1,4.0,4,Typ,1,0.0,Attchd,Fin,2.0,602.0,0.0,0.0,Y,303,30,0,0,0,0,0.0,none,none,0,7,2009,WD ,165500,31,0,2207.0,2.0,0,1,0
43,1325,902406090,50,RM,12150,Pave,Grvl,Reg,Lvl,AllPub,Inside,Gtl,OldTown,Norm,Norm,1Fam,1.5Fin,5,5,Gable,CompShg,MetalSd,MetalSd,BrkFace,335.0,0.0,0.0,BrkTil,0.0,0.0,0.0,Unf,0.0,Unf,0.0,1050.0,1050.0,GasA,5.0,N,FuseF,1050,745,0,1795,0.0,0.0,2,0,4,1,0.0,7,Typ,0,0.0,Attchd,Unf,1.0,352.0,2.0,0.0,Y,0,0,0,0,0,0,0.0,none,none,0,11,2008,WD ,131500,54,0,2845.0,2.0,0,0,1
